City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port macquarie,-31.4333,152.9167,20.04,87,100,1.79,AU,1731264511
83,wongsorejo,-7.9908,114.4009,25.06,86,12,3.15,ID,1731264512
84,villa gesell,-37.2639,-56.973,19.3,80,100,6.34,AR,1731264513
85,avarua,-21.2078,-159.775,24.03,64,20,3.6,CK,1731264514
86,kristiansund,63.1115,7.732,5.63,87,20,3.09,NO,1731264515
87,pahrump,36.2083,-115.9839,17.75,19,17,2.76,US,1731264384
88,alghero,40.5589,8.3181,16.05,88,20,1.54,IT,1731264517
89,zaozersk,69.4005,32.4476,1.56,86,92,3.04,RU,1731264518
90,tralee,52.2704,-9.7026,12.14,87,100,1.03,IE,1731264519
91,greymouth,-42.4667,171.2,9.66,89,100,0.53,NZ,1731264520
92,darab,28.7519,54.5444,20.84,24,100,1.67,IR,1731264522
93,valparaiso,-33.0393,-71.6273,25.13,49,20,8.23,CL,1731264508
94,tam ky,15.5667,108.4833,21.81,94,53,2.25,VN,1731264524
95,lebu,-37.6167,-73.65,14.32,67,0,4.66,CL,1731264341
96,invercargill,-46.4,168.35,9.45,74,100,5.81,NZ,1731264526
97,ponnani,10.767,75.9252,25.24,79,11,1.76,IN,1731264527
98,sidney,-33.8679,151.2073,18.17,78,100,6.17,AU,1731264332
99,laascaanood,8.4774,47.3597,26.7,31,98,1.28,SO,1731264529
100,udachny,66.4167,112.4,-19.48,98,69,2.2,RU,1731264530
101,lompoc,34.6391,-120.4579,22.61,48,0,0.89,US,1731264531
102,dzhangala,49.2167,50.3333,1.87,87,10,3.48,KZ,1731264532
103,rozhyshche,50.9154,25.2691,3.4,89,6,2.43,UA,1731264533
104,nevel'sk,46.6733,141.8633,5.05,65,0,11.4,RU,1731264534
105,susuman,62.7833,148.1667,-34.48,99,100,0.27,RU,1731264536
106,hawaiian paradise park,19.5933,-154.9731,22.73,92,20,2.57,US,1731264537
107,siler city,35.7235,-79.4622,16.97,76,100,2.94,US,1731264538
108,badger,64.8,-147.5333,-19.05,78,0,2.06,US,1731264539
109,egilsstadir,65.2653,-14.3948,6.95,81,75,4.63,IS,1731264540
110,colonia,50.9333,6.95,10.54,87,100,1.03,DE,1731264541
111,funafuti,-8.5243,179.1942,27.0,89,40,0.0,TV,1731264542
112,nguigmi,14.2495,13.1092,26.08,24,98,3.07,NE,1731264543
113,toliara,-23.35,43.6667,23.8,82,2,2.7,MG,1731264544
114,hami,42.8,93.45,6.2,43,0,3.91,CN,1731264545
115,carnarvon,-24.8667,113.6333,20.16,70,49,11.54,AU,1731264361
116,ust'-uda,54.1742,103.0304,-5.96,75,58,1.34,RU,1731264547
117,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,74,75,1.0,RU,1731264549
118,ribeira grande,38.5167,-28.7,20.43,83,20,8.75,PT,1731264550
119,adam,22.3756,57.5233,25.41,36,0,3.78,OM,1731264551
120,port-gentil,-0.7193,8.7815,26.98,83,20,2.06,GA,1731264552
121,keflavik,64.0049,-22.5624,7.24,81,75,10.8,IS,1731264553
122,formosa do rio preto,-11.0483,-45.1931,26.61,67,100,3.12,BR,1731264554
123,blackmans bay,-43.0167,147.3167,6.4,88,5,1.75,AU,1731264360
124,karasu,41.071,30.7854,10.68,80,100,0.99,TR,1731264556
125,oranjemund,-28.55,16.4333,15.48,90,51,5.03,NA,1731264557
126,murzuq,25.9155,13.9184,19.08,32,100,2.31,LY,1731264558
127,vico del gargano,41.8983,15.9576,15.04,70,44,3.84,IT,1731264559
128,fada,7.25,4.0667,27.37,65,20,2.06,NG,1731264560
129,happy valley-goose bay,53.3168,-60.3315,2.17,60,75,6.17,CA,1731264413
130,bilibino,68.0546,166.4372,-17.88,98,100,0.32,RU,1731264563
131,whitehorse,60.7161,-135.0538,-2.21,79,75,4.63,CA,1731264564
132,kyadabek,40.5656,45.8161,4.79,61,99,1.29,AZ,1731264565
133,seymour,38.9592,-85.8903,19.18,91,99,6.2,US,1731264566
134,luena,-11.7833,19.9167,17.24,95,40,0.58,AO,1731264567
135,saint-joseph,-21.3667,55.6167,24.21,86,38,4.6,RE,1731264568
136,st. john's,47.5649,-52.7093,3.87,61,75,12.35,CA,1731264569
137,atafu village,-8.5421,-172.5159,28.42,68,46,5.3,TK,1731264570
138,guelmim,28.987,-10.0574,28.19,16,0,8.23,MA,1731264571
139,hithadhoo,-0.6,73.0833,28.09,73,100,5.68,MV,1731264572
140,puerto ayora,-0.7393,-90.3518,23.64,79,72,3.58,EC,1731264574
141,usakos,-22.0,15.6,20.19,38,1,4.52,NA,1731264575
142,iqaluit,63.7506,-68.5145,-3.15,63,75,5.14,CA,1731264576
143,at taj,24.2049,23.2857,17.25,36,0,3.48,LY,1731264577
144,mandimba,-14.3548,35.6515,24.77,62,3,3.17,MZ,1731264578
145,kardla,58.9978,22.7492,7.59,82,100,2.42,EE,1731264580
146,usinsk,65.9939,57.5281,-12.83,95,15,4.65,RU,1731264581
147,namibe,-15.1961,12.1522,21.2,71,99,4.33,AO,1731264410
148,akureyri,65.6835,-18.0878,7.96,61,75,8.23,IS,1731264585
149,myeik,12.4333,98.6,26.24,84,68,1.8,MM,1731264586
150,weno,7.4515,151.8468,26.97,74,40,0.0,FM,1731264587
151,lazaro cardenas,17.9583,-102.2,29.68,66,99,3.42,MX,1731264588
152,baracoa,20.3467,-74.4958,28.79,74,31,2.33,CU,1731264589
153,kailua-kona,19.6406,-155.9956,26.42,74,0,0.0,US,1731264590
154,kill devil hills,36.0307,-75.676,20.01,73,0,5.14,US,1731264591
155,khoyniki,51.8911,29.9552,1.75,95,9,2.19,BY,1731264592
156,urengoy,65.9667,78.3667,-7.36,93,100,6.89,RU,1731264593
157,asadabad,34.7824,48.1185,13.4,56,51,1.23,IR,1731264594
158,springfield,37.2153,-93.2982,19.92,52,0,4.63,US,1731264426
159,pisco,-13.7,-76.2167,23.03,60,0,3.09,PE,1731264596
160,kayes,14.0,-11.0,29.63,18,0,2.69,ML,1731264597
161,ostersund,63.1792,14.6357,1.45,100,100,5.66,SE,1731264522
162,azle,32.8951,-97.5459,26.06,45,0,2.06,US,1731264600
163,malumfashi,11.7853,7.6218,22.47,27,52,3.07,NG,1731264602
164,port blair,11.6667,92.75,28.02,83,40,1.03,IN,1731264603
165,pemangkat,1.1667,108.9667,26.96,80,100,1.9,ID,1731264604
166,kharp,66.8014,65.8081,-16.79,91,61,4.49,RU,1731264605
167,sevierville,35.8681,-83.5618,22.14,56,100,0.0,US,1731264606
168,wailua homesteads,22.0669,-159.378,25.44,95,75,7.2,US,1731264607
169,saint-philippe,-21.3585,55.7679,24.45,88,45,5.16,RE,1731264608
170,itoman,26.1247,127.6694,26.01,89,20,4.63,JP,1731264609
171,qaqortoq,60.7167,-46.0333,-1.91,87,100,3.91,GL,1731264610
172,yaguajay,22.3272,-79.2378,26.52,86,99,6.49,CU,1731264612
173,howard springs,-12.497,131.047,25.95,94,100,1.29,AU,1731264613
174,brisas de zicatela,15.8369,-97.0419,28.88,72,55,2.79,MX,1731264614
175,kapit,2.0167,112.9333,22.64,99,100,0.61,MY,1731264615
176,alofi,-19.0595,-169.9187,24.94,78,100,7.72,NU,1731264616
177,kapa'a,22.0752,-159.319,26.18,95,75,7.2,US,1731264541
178,ancud,-41.8697,-73.8203,10.08,81,81,6.53,CL,1731264590
179,sovetskaya gavan',48.9723,140.2878,-0.33,59,0,8.07,RU,1731264620
180,rongelap,11.1635,166.8941,27.66,81,71,9.6,MH,1731264590
181,vuktyl,63.8567,57.3094,-7.04,90,100,4.96,RU,1731264623
182,lihue,21.9789,-159.3672,25.77,89,75,7.2,US,1731264624
183,sandacho,34.8833,135.2333,16.1,85,100,1.02,JP,1731264625
184,kolonia,50.9333,6.95,10.54,87,100,1.03,DE,1731264541
185,vilyuchinsk,52.9306,158.4028,-4.85,77,100,0.24,RU,1731264627
186,papatowai,-46.5619,169.4708,8.09,83,81,7.65,NZ,1731264628
187,callao,-12.0667,-77.15,22.16,64,0,8.23,PE,1731264568
188,talcahuano,-36.7167,-73.1167,17.82,59,40,5.14,CL,1731264630
189,college,64.8569,-147.8028,-19.01,78,20,2.06,US,1731264631
190,utrik,11.2278,169.8474,28.44,76,1,8.9,MH,1731264561
191,bikenibeu village,1.3673,173.1241,27.98,83,75,4.63,KI,1731264633
192,sodankyla,67.4167,26.6,-2.02,82,32,2.13,FI,1731264635
193,mount gambier,-37.8333,140.7667,7.0,94,9,2.25,AU,1731264636
194,khanjarah,40.5999,33.6153,9.23,46,100,1.88,TR,1731264637
195,oxapampa,-10.5775,-75.4017,21.73,70,98,1.93,PE,1731264638
196,gadzhiyevo,69.2551,33.3362,2.87,85,97,3.91,RU,1731264640
197,tazovsky,67.4667,78.7,-10.4,93,100,7.79,RU,1731264641
198,cockburn town,21.4612,-71.1419,27.98,89,40,7.72,TC,1731264642
199,georgetown,5.4112,100.3354,27.96,83,20,2.06,MY,1731264643
200,vilyuysk,63.7553,121.6247,-13.66,97,99,2.05,RU,1731264644
201,collie,-33.3667,116.15,9.0,94,100,2.4,AU,1731264645
202,yangambi,0.8102,24.4336,20.06,98,99,0.84,CD,1731264646
203,mansa,29.9833,75.3833,22.73,42,0,2.82,IN,1731264648
204,mokhsogollokh,61.4681,128.9203,-13.96,97,99,1.59,RU,1731264649
205,cole harbour,44.6724,-63.4751,8.87,44,4,6.69,CA,1731264650
206,greenland,43.0362,-70.8328,13.87,37,96,1.79,US,1731264576
207,kavieng,-2.5744,150.7967,28.04,77,97,6.8,PG,1731264652
208,cadale,2.7603,46.3222,26.9,81,100,4.42,SO,1731264653
209,ceeldheer,3.8488,47.1806,26.78,81,96,5.03,SO,1731264654
210,winters,38.5249,-121.9708,18.69,47,0,1.54,US,1731264655
211,nar'yan-mar,67.6713,53.087,-9.01,86,49,3.2,RU,1731264656
212,remire-montjoly,4.9167,-52.2667,27.02,89,100,2.57,GF,1731264657
213,kabalo,-6.05,26.9167,21.39,93,100,2.57,CD,1731264658
